id,resource_type,locator,translatable_string
c576ece5-2af2-495b-ab1a-d5e8c68f895b,ACTION_TITLE,"workspace.actions[action=""action_31806""].title","""OLÁ"""
108d1124-46f3-453d-a2df-6b64fe11f55d,ACTION_STEP_OUTPUT_GENERIC_VALUES_TEXT,"workspace.actions[action=""welcome""].steps[step=""step_001""].output.generic[0].values[0].text","""Bem-vindo, como posso ajudá-lo?"""
2f45e3a6-cd66-4adc-a823-cd7da52769f1,ACTION_TITLE,"workspace.actions[action=""welcome""].title","""Greet customer"""
77ca0cfc-02d2-429a-8bed-ec7f182cfb24,ACTION_STEP_OUTPUT_GENERIC_VALUES_TEXT,"workspace.actions[action=""anything_else""].steps[step=""step_001""].output.generic[0].values[0].text","""Acho que não entendi. Reformule sua pergunta."""
18aa640e-e24f-4f54-befe-cc056fa30cdc,ACTION_STEP_OUTPUT_GENERIC_VALUES_TEXT,"workspace.actions[action=""anything_else""].steps[step=""step_002""].output.generic[0].values[0].text",""""""
b044f794-6b32-4116-aead-b91faa1485dc,ACTION_TITLE,"workspace.actions[action=""anything_else""].title","""No action matches"""
ca5f4b51-a757-4cc8-857d-1a9de15e6dc3,ACTION_STEP_OUTPUT_GENERIC_VALUES_TEXT,"workspace.actions[action=""fallback""].steps[step=""digression_failure""].output.generic[0].values[0].text","""Desculpe, não pude confirmar se você queria retornar ao tópico anterior, deixe-me conectar a um agente."""
adc3ce7a-8a30-4196-9819-16bdbc928e85,ACTION_STEP_RESOLVER_CONNECT_TO_AGENT_AVAILABLE_MSG,"workspace.actions[action=""fallback""].steps[step=""digression_failure""].resolver[type=""connect_to_agent""].response.agent_available.message","""Vamos mandá-lo para um agente disponível."""
ead8c376-f031-4c7d-8c41-07099e710b89,ACTION_STEP_RESOLVER_CONNECT_TO_AGENT_UNAVAILABLE_MSG,"workspace.actions[action=""fallback""].steps[step=""digression_failure""].resolver[type=""connect_to_agent""].response.agent_unavailable.message","""Não há agentes disponíveis neste momento. Quando houver um disponível, conectaremos você."""
3233b25d-7d0d-496b-af8a-2f32ddd62392,ACTION_STEP_RESOLVER_CONNECT_TO_AGENT_HUMAN_AGENT_MSG,"workspace.actions[action=""fallback""].steps[step=""digression_failure""].resolver[type=""connect_to_agent""].response.message_to_human_agent",""""""
505faae3-b77f-4f23-b33b-b541148cfba5,ACTION_STEP_CONDITION_SCALAR,"workspace.actions[action=""fallback""].steps[step=""digression_failure""].condition.eq[1].scalar","""Failed to confirm topic return"""
0e75f9ce-3aa0-4fe9-8794-a31ed3869ded,ACTION_STEP_OUTPUT_GENERIC_VALUES_TEXT,"workspace.actions[action=""fallback""].steps[step=""step_001""].output.generic[0].values[0].text","""Acho que não entendi. Eu posso conectar você a um agente."""
d2bcacb1-0840-44e7-8230-9fec994cb2ed,ACTION_STEP_RESOLVER_CONNECT_TO_AGENT_AVAILABLE_MSG,"workspace.actions[action=""fallback""].steps[step=""step_001""].resolver[type=""connect_to_agent""].response.agent_available.message","""Vamos mandá-lo para um agente disponível."""
31513233-0060-4a4a-a301-5c5b730604bb,ACTION_STEP_RESOLVER_CONNECT_TO_AGENT_UNAVAILABLE_MSG,"workspace.actions[action=""fallback""].steps[step=""step_001""].resolver[type=""connect_to_agent""].response.agent_unavailable.message","""Não há agentes disponíveis neste momento. Quando houver um disponível, conectaremos você."""
e2d4112f-f2d6-4fc1-96d8-7ff860c97f9b,ACTION_STEP_RESOLVER_CONNECT_TO_AGENT_HUMAN_AGENT_MSG,"workspace.actions[action=""fallback""].steps[step=""step_001""].resolver[type=""connect_to_agent""].response.message_to_human_agent",""""""
6c49f227-078a-45a2-807c-4019e904b131,ACTION_STEP_CONDITION_SCALAR,"workspace.actions[action=""fallback""].steps[step=""step_001""].condition.eq[1].scalar","""Step validation failed"""
1c49c06e-8e88-47c4-9b84-ea525a925182,ACTION_STEP_OUTPUT_GENERIC_VALUES_TEXT,"workspace.actions[action=""fallback""].steps[step=""step_002""].output.generic[0].values[0].text","""Desculpe não poder ajudá-lo. Vou conectá-lo a um agente imediatamente."""
a4d0604e-51b5-441c-96f1-a36638c9aeee,ACTION_STEP_RESOLVER_CONNECT_TO_AGENT_AVAILABLE_MSG,"workspace.actions[action=""fallback""].steps[step=""step_002""].resolver[type=""connect_to_agent""].response.agent_available.message","""Vamos mandá-lo para um agente disponível."""
f6e7df80-2fe9-4f46-bc67-6b31d93e9944,ACTION_STEP_RESOLVER_CONNECT_TO_AGENT_UNAVAILABLE_MSG,"workspace.actions[action=""fallback""].steps[step=""step_002""].resolver[type=""connect_to_agent""].response.agent_unavailable.message","""Não há agentes disponíveis neste momento. Quando houver um disponível, conectaremos você."""
b1ec564f-dd7e-4808-89dd-90f8f1f0c1ed,ACTION_STEP_RESOLVER_CONNECT_TO_AGENT_HUMAN_AGENT_MSG,"workspace.actions[action=""fallback""].steps[step=""step_002""].resolver[type=""connect_to_agent""].response.message_to_human_agent",""""""
e4934294-411a-4d72-94da-c499f29abf42,ACTION_STEP_CONDITION_SCALAR,"workspace.actions[action=""fallback""].steps[step=""step_002""].condition.eq[1].scalar","""Agent requested"""
451b198c-71dc-4e22-ac1e-46dc5b117edc,ACTION_STEP_OUTPUT_GENERIC_VALUES_TEXT,"workspace.actions[action=""fallback""].steps[step=""step_003""].output.generic[0].values[0].text","""Acho que não entendi o que você está pedindo; vou conectá-lo a um agente."""
dd6ec18a-e6d1-485b-bc58-9d4c89a7fb3d,ACTION_STEP_RESOLVER_CONNECT_TO_AGENT_AVAILABLE_MSG,"workspace.actions[action=""fallback""].steps[step=""step_003""].resolver[type=""connect_to_agent""].response.agent_available.message","""Vamos mandá-lo para um agente disponível."""
98ce871b-ac97-4d6a-9e63-97084d6433c1,ACTION_STEP_RESOLVER_CONNECT_TO_AGENT_UNAVAILABLE_MSG,"workspace.actions[action=""fallback""].steps[step=""step_003""].resolver[type=""connect_to_agent""].response.agent_unavailable.message","""Não há agentes disponíveis neste momento. Quando houver um disponível, conectaremos você."""
ce468136-8ab1-48e2-b806-05740c5efce7,ACTION_STEP_RESOLVER_CONNECT_TO_AGENT_HUMAN_AGENT_MSG,"workspace.actions[action=""fallback""].steps[step=""step_003""].resolver[type=""connect_to_agent""].response.message_to_human_agent",""""""
608eb4a8-70fe-4232-bd2c-102aca7581d1,ACTION_STEP_CONDITION_SCALAR,"workspace.actions[action=""fallback""].steps[step=""step_003""].condition.eq[1].scalar","""No action matches"""
aa276859-5c61-4448-ab17-e0d5c668e2b5,ACTION_STEP_OUTPUT_GENERIC_VALUES_TEXT,"workspace.actions[action=""fallback""].steps[step=""step_004""].output.generic[0].values[0].text","""Parece que esta conversa seria melhor gerenciada por um agente humano. Deixe-me conectá-lo a um de nossos agentes."""
a2556d80-ae08-49bf-a538-42e8054559b0,ACTION_STEP_RESOLVER_CONNECT_TO_AGENT_AVAILABLE_MSG,"workspace.actions[action=""fallback""].steps[step=""step_004""].resolver[type=""connect_to_agent""].response.agent_available.message","""Vamos mandá-lo para um agente disponível."""
67066772-6387-41b4-8fc4-05dedb5d987a,ACTION_STEP_RESOLVER_CONNECT_TO_AGENT_UNAVAILABLE_MSG,"workspace.actions[action=""fallback""].steps[step=""step_004""].resolver[type=""connect_to_agent""].response.agent_unavailable.message","""Não há agentes disponíveis neste momento. Quando houver um disponível, conectaremos você."""
d9bd6f77-fae7-41d3-9474-da18b9ab273b,ACTION_STEP_RESOLVER_CONNECT_TO_AGENT_HUMAN_AGENT_MSG,"workspace.actions[action=""fallback""].steps[step=""step_004""].resolver[type=""connect_to_agent""].response.message_to_human_agent",""""""
6833e2ac-8e70-44d3-90b2-857365c6030c,ACTION_STEP_CONDITION_SCALAR,"workspace.actions[action=""fallback""].steps[step=""step_004""].condition.eq[1].scalar","""Danger word detected"""
79a0975f-bc6c-4c56-8a62-7be3247601fc,ACTION_STEP_OUTPUT_GENERIC_VALUES_TEXT,"workspace.actions[action=""fallback""].steps[step=""step_005""].output.generic[0].values[0].text","""Parece que esta conversa seria melhor gerenciada por um agente humano. Deixe-me conectá-lo a um de nossos agentes."""
01c14042-ea80-400e-a9d0-323715e159cf,ACTION_STEP_RESOLVER_CONNECT_TO_AGENT_AVAILABLE_MSG,"workspace.actions[action=""fallback""].steps[step=""step_005""].resolver[type=""connect_to_agent""].response.agent_available.message","""Vamos mandá-lo para um agente disponível."""
